iter	Passed	Remaining
0	1932	38647378
1	3763	37629371
2	5144	34291795
3	6759	33789503
4	8122	32481612
5	9295	30975244
6	10706	30579749
7	12005	30001487
8	13371	29700523
9	14610	29205550
10	15874	28847381
11	17122	28521156
12	18362	28231239
13	19645	28045006
14	20861	27794139
15	22087	27586901
16	23283	27369370
17	24562	27267263
18	25737	27065931
19	27064	27037499
20	28362	26983500
21	29537	26822760
22	30666	26636138
23	31926	26573804
24	33371	26663514
25	34744	26692075
26	36018	26644689
27	37314	26615867
28	38574	26564267
29	39860	26533753
30	41021	26424156
31	42336	26417900
32	43412	26267432
33	44811	26314650
34	45927	26198270
35	47235	26194801
36	48458	26145450
37	49673	26094325
38	50892	26047820
39	52013	25954681
40	53203	25899523
41	54371	25836682
42	55438	25730130
43	56600	25671031
44	57834	25646220
45	59127	25648334
46	60319	25607397
47	61615	25611438
48	62897	25609608
49	64132	25588857
50	65365	25568219
51	66650	25568077
52	68010	25596255
53	69222	25568903
54	70298	25492869
55	71551	25482668
56	72715	25441377
57	73929	25419159
58	75187	25412240
59	76377	25382668
60	77657	25383695
61	78887	25368740
62	80131	25358434
63	81297	25324321
64	82365	25260986
65	83519	25225560
66	84805	25230201
67	85990	25205203
68	87128	25167496
69	88421	25174998
70	89729	25186242
71	90868	25150245
72	92163	25158003
73	93444	25161835
74	94698	25158299
75	96041	25178118
76	97349	25188303
77	98571	25176250
78	99696	25139994
79	100958	25138660
80	102353	25170226
81	103745	25199942
82	105080	25215484
83	106382	25222875
84	107619	25214565
85	108870	25209843
86	109989	25174905
87	111242	25171217
88	112484	25165025
89	113667	25145680
90	114776	25110788
91	115885	25076712
92	117132	25072681
93	118464	25086827
94	119561	25051354
95	120824	25051024
96	121948	25022152
97	123173	25014344
98	124447	25016511
99	125779	25030214
100	126902	25002265
101	128163	25001908
102	129378	24992753
103	130466	24959280
104	131732	24960210
105	132799	24923716
106	134028	24918017
107	135286	24917835
108	136377	24887070
109	137610	24882521
110	138820	24873910
111	139972	24855074
112	141151	24841445
113	142330	24828002
114	143629	24835373
115	144942	24845138
116	146192	24843964
117	147220	24805458
118	148497	24809147
119	149777	24813170
120	150993	24806679
121	152211	24800479
122	153508	24807163
123	154858	24822319
124	156165	24830253
125	157279	24807770
126	158357	24779816
127	159624	24781683
128	160851	24777436
129	162004	24761713
130	163145	24744498
131	164353	24737677
132	165551	24729411
133	166865	24738374
134	168120	24738573
135	169302	24728113
136	170647	24741461
137	171934	24746132
138	173202	24748057
139	174497	24753759
140	175671	24742234
141	177013	24754430
142	178164	24739881
143	179464	24746138
144	180651	24736841
145	181754	24716126
146	182867	24697103
147	184193	24706860
148	185616	24729357
149	186921	24735925
150	188086	24724002
151	189159	24700284
152	190465	24707004
153	191839	24722377
154	193043	24715778
155	194340	24721106
156	195463	24704380
157	196733	24706200
158	198064	24715757
159	199154	24695187
160	200398	24693807
161	201548	24681032
162	202664	24664100
163	203937	24666528
164	205051	24649691
165	206290	24648022
166	207421	24633439
167	208635	24628922
168	209837	24622973
169	211113	24625781
170	212485	24639648
171	213591	24622685
172	214948	24634540
173	216139	24627529
174	217301	24617173
175	218553	24617112
176	219939	24631942
177	221061	24617361
178	222313	24617143
179	223461	24605647
180	224655	24599166
181	225869	24594909
182	227183	24601564
183	228333	24590528
184	229576	24589526
185	230787	24585111
186	231962	24576851
187	233111	24566030
188	234332	24562772
189	235573	24561622
190	236671	24545663
191	237976	24551240
192	239208	24549246
193	240484	24551730
194	241639	24541913
195	242803	24533105
196	244080	24535627
197	245454	24547931
198	246716	24548947
199	248031	24555162
200	249135	24540461
201	250347	24536541
202	251623	24538865
203	252621	24514152
204	253882	24515134
205	255082	24510166
206	256285	24505560
207	257525	24504580
208	258854	24511951
209	259975	24499551
210	261213	24498404
211	262355	24488163
212	263579	24485715
213	264780	24481081
214	265964	24474909
215	267121	24466336
216	268398	24468790
217	269670	24470724
218	270911	24469825
219	272172	24470738
220	273285	24458410
221	274437	24449636
222	275738	24454213
223	277039	24458641
224	278195	24450327
225	279481	24453356
226	280550	24437588
227	281759	24433979
228	282934	24427537
229	284134	24423227
230	285320	24417740
231	286489	24410841
232	287656	24403855
233	288899	24403387
234	290152	24403654
235	291354	24399729
236	292511	24392015
237	293809	24396063
238	294892	24382278
239	296055	24375258
240	297224	24368738
241	298369	24360303
242	299681	24365442
243	300906	24363570
244	301973	24348954
245	303180	24345674
246	304341	24338694
247	305571	24337264
248	307025	24353655
249	308368	24361140
250	309498	24351722
251	310687	24347063
252	311931	24346719
253	313209	24348956
254	314440	24347526
